,query,embedding_output,C1_RT_1,C1_RT_submit,img_name,n_reference,n_select,is_ranked
0,shawn-mendes,"['shawn-mendes', 'ariana-grande', 'cersei']",846.0,1727.0,shawn-mendes,2,1,True
1,barack-obama,"['barack-obama', 'billie-eilish', 'robert-downey-jr']",346.0,901.0,barack-obama,2,1,True
2,leonardo-dicaprio,"['leonardo-dicaprio', 'jennifer-lawrence', 'ariana-grande']",299.0,760.0,leonardo-dicaprio,2,1,True
3,miley-cyrus,"['miley-cyrus', 'eminem', 'jake-gyllenhaal']",637.0,1268.0,miley-cyrus,2,1,True
4,brad-pitt,"['brad-pitt', 'chris-pratt', 'meghan-markle']",510.0,1036.0,brad-pitt,2,1,True
5,jake-gyllenhaal,"['jake-gyllenhaal', 'emma-stone', 'zendaya']",256.0,797.0,jake-gyllenhaal,2,1,True
6,beyonce,"['beyonce', 'seth-rogan', 'billie-eilish']",267.0,927.0,beyonce,2,1,True
7,chris-pratt,"['chris-pratt', 'taylor-swift', 'jennifer-lawrence']",302.0,902.0,chris-pratt,2,1,True
8,angelina-jolie,"['angelina-jolie', 'billie-eilish', 'barack-obama']",242.0,855.0,angelina-jolie,2,1,True
9,donald-glover,"['donald-glover', 'meghan-markle', 'reese-witherspoon']",227.0,840.0,donald-glover,2,1,True
10,jennifer-lawrence,"['jennifer-lawrence', 'jay-z', 'michael-jackson']",242.0,781.0,jennifer-lawrence,2,1,True
11,lady-gaga,"['lady-gaga', 'zendaya', 'drake']",254.0,810.0,lady-gaga,2,1,True
12,billie-eilish,"['billie-eilish', 'selena-gomez', 'rihanna']",184.0,725.0,billie-eilish,2,1,True
13,emma-watson,"['emma-watson', 'seth-rogan', 'leonardo-dicaprio']",479.0,987.0,emma-watson,2,1,True
14,robert-downey-jr,"['robert-downey-jr', 'beyonce', 'drake']",286.0,933.0,robert-downey-jr,2,1,True
15,selena-gomez,"['selena-gomez', 'ariana-grande', 'miley-cyrus']",291.0,903.0,selena-gomez,2,1,True
16,ryan-reynolds,"['ryan-reynolds', 'melania-trump', 'miley-cyrus']",338.0,968.0,ryan-reynolds,2,1,True
17,meghan-markle,"['meghan-markle', 'billie-eilish', 'jennifer-lawrence']",470.0,1368.0,meghan-markle,2,1,True
18,taylor-swift,"['taylor-swift', 'kanye-west', 'leonardo-dicaprio']",297.0,1049.0,taylor-swift,2,1,True
19,eminem,"['eminem', 'leonardo-dicaprio', 'barack-obama']",251.0,806.0,eminem,2,1,True
20,kanye-west,"['kanye-west', 'robert-downey-jr', 'kim-kardashian']",686.0,1316.0,kanye-west,2,1,True
21,dwayne-johnson,"['dwayne-johnson', 'reese-witherspoon', 'ariana-grande']",710.0,1383.0,dwayne-johnson,2,1,True
22,jay-z,"['jay-z', 'leonardo-dicaprio', 'donald-trump']",381.0,1101.0,jay-z,2,1,True
23,seth-rogan,"['seth-rogan', 'brad-pitt', 'jennifer-lawrence']",317.0,812.0,seth-rogan,2,1,True
24,kristen-stewart,"['kristen-stewart', 'lady-gaga', 'eminem']",497.0,1022.0,kristen-stewart,2,1,True
25,kim-kardashian,"['kim-kardashian', 'post-malone', 'leonardo-dicaprio']",243.0,739.0,kim-kardashian,2,1,True
26,ariana-grande,"['ariana-grande', 'shawn-mendes', 'post-malone']",315.0,810.0,ariana-grande,2,1,True
27,emma-stone,"['emma-stone', 'drake', 'kim-kardashian']",197.0,678.0,emma-stone,2,1,True
28,jennifer-aniston,"['jennifer-aniston', 'kim-kardashian', 'nicki-minaj']",287.0,1127.0,jennifer-aniston,2,1,True
29,justin-bieber,"['justin-bieber', 'will-smith', 'chris-pratt']",291.0,937.0,justin-bieber,2,1,True
30,cersei,"['cersei', 'angelina-jolie', 'billie-eilish']",268.0,823.0,cersei,2,1,True
31,melania-trump,"['melania-trump', 'kanye-west', 'beyonce']",291.0,875.0,melania-trump,2,1,True
32,bradley-cooper,"['bradley-cooper', 'brad-pitt', 'kristen-stewart']",271.0,781.0,bradley-cooper,2,1,True
33,ryan-gosling,"['ryan-gosling', 'seth-rogan', 'angelina-jolie']",271.0,873.0,ryan-gosling,2,1,True
34,will-smith,"['will-smith', 'jennifer-aniston', 'justin-trudeau']",358.0,930.0,will-smith,2,1,True
35,zendaya,"['zendaya', 'rihanna', 'jake-gyllenhaal']",497.0,1020.0,zendaya,2,1,True
36,reese-witherspoon,"['reese-witherspoon', 'miley-cyrus', 'taylor-swift']",255.0,796.0,reese-witherspoon,2,1,True
37,drake,"['drake', 'emma-watson', 'justin-timberlake']",287.0,827.0,drake,2,1,True
38,jennifer-lopez,"['jennifer-lopez', 'ryan-gosling', 'billie-eilish']",298.0,946.0,jennifer-lopez,2,1,True
39,nicki-minaj,"['nicki-minaj', 'ryan-reynolds', 'angelina-jolie']",304.0,828.0,nicki-minaj,2,1,True
40,justin-trudeau,"['justin-trudeau', 'jay-z', 'taylor-swift']",324.0,892.0,justin-trudeau,2,1,True
41,michael-jackson,"['michael-jackson', 'jake-gyllenhaal', 'cersei']",330.0,885.0,michael-jackson,2,1,True
42,donald-trump,"['donald-trump', 'justin-timberlake', 'will-smith']",366.0,1055.0,donald-trump,2,1,True
43,steve-carrell,"['steve-carrell', 'taylor-swift', 'kanye-west']",336.0,934.0,steve-carrell,2,1,True
44,rihanna,"['rihanna', 'selena-gomez', 'angelina-jolie']",364.0,1083.0,rihanna,2,1,True
45,justin-timberlake,"['justin-timberlake', 'reese-witherspoon', 'ryan-gosling']",499.0,1127.0,justin-timberlake,2,1,True
46,post-malone,"['post-malone', 'emma-watson', 'lady-gaga']",364.0,1310.0,post-malone,2,1,True
47,shawn-mendes,"['shawn-mendes', 'ariana-grande', 'cersei']",846.0,1727.0,shawn-mendes,2,1,True
48,barack-obama,"['barack-obama', 'billie-eilish', 'robert-downey-jr']",346.0,901.0,barack-obama,2,1,True
49,leonardo-dicaprio,"['leonardo-dicaprio', 'jennifer-lawrence', 'ariana-grande']",299.0,760.0,leonardo-dicaprio,2,1,True
50,miley-cyrus,"['miley-cyrus', 'eminem', 'jake-gyllenhaal']",637.0,1268.0,miley-cyrus,2,1,True
51,brad-pitt,"['brad-pitt', 'chris-pratt', 'meghan-markle']",510.0,1036.0,brad-pitt,2,1,True
52,jake-gyllenhaal,"['jake-gyllenhaal', 'emma-stone', 'zendaya']",256.0,797.0,jake-gyllenhaal,2,1,True
53,beyonce,"['beyonce', 'seth-rogan', 'billie-eilish']",267.0,927.0,beyonce,2,1,True
54,chris-pratt,"['chris-pratt', 'taylor-swift', 'jennifer-lawrence']",302.0,902.0,chris-pratt,2,1,True
55,angelina-jolie,"['angelina-jolie', 'billie-eilish', 'barack-obama']",242.0,855.0,angelina-jolie,2,1,True
56,donald-glover,"['donald-glover', 'meghan-markle', 'reese-witherspoon']",227.0,840.0,donald-glover,2,1,True
57,jennifer-lawrence,"['jennifer-lawrence', 'jay-z', 'michael-jackson']",242.0,781.0,jennifer-lawrence,2,1,True
58,lady-gaga,"['lady-gaga', 'zendaya', 'drake']",254.0,810.0,lady-gaga,2,1,True
59,billie-eilish,"['billie-eilish', 'selena-gomez', 'rihanna']",184.0,725.0,billie-eilish,2,1,True
60,emma-watson,"['emma-watson', 'seth-rogan', 'leonardo-dicaprio']",479.0,987.0,emma-watson,2,1,True
61,robert-downey-jr,"['robert-downey-jr', 'beyonce', 'drake']",286.0,933.0,robert-downey-jr,2,1,True
62,selena-gomez,"['selena-gomez', 'ariana-grande', 'miley-cyrus']",291.0,903.0,selena-gomez,2,1,True
63,ryan-reynolds,"['ryan-reynolds', 'melania-trump', 'miley-cyrus']",338.0,968.0,ryan-reynolds,2,1,True
64,meghan-markle,"['meghan-markle', 'billie-eilish', 'jennifer-lawrence']",470.0,1368.0,meghan-markle,2,1,True
65,taylor-swift,"['taylor-swift', 'kanye-west', 'leonardo-dicaprio']",297.0,1049.0,taylor-swift,2,1,True
66,eminem,"['eminem', 'leonardo-dicaprio', 'barack-obama']",251.0,806.0,eminem,2,1,True
67,kanye-west,"['kanye-west', 'robert-downey-jr', 'kim-kardashian']",686.0,1316.0,kanye-west,2,1,True
68,dwayne-johnson,"['dwayne-johnson', 'reese-witherspoon', 'ariana-grande']",710.0,1383.0,dwayne-johnson,2,1,True
69,jay-z,"['jay-z', 'leonardo-dicaprio', 'donald-trump']",381.0,1101.0,jay-z,2,1,True
70,seth-rogan,"['seth-rogan', 'brad-pitt', 'jennifer-lawrence']",317.0,812.0,seth-rogan,2,1,True
71,kristen-stewart,"['kristen-stewart', 'lady-gaga', 'eminem']",497.0,1022.0,kristen-stewart,2,1,True
72,kim-kardashian,"['kim-kardashian', 'post-malone', 'leonardo-dicaprio']",243.0,739.0,kim-kardashian,2,1,True
73,ariana-grande,"['ariana-grande', 'shawn-mendes', 'post-malone']",315.0,810.0,ariana-grande,2,1,True
74,emma-stone,"['emma-stone', 'drake', 'kim-kardashian']",197.0,678.0,emma-stone,2,1,True
75,jennifer-aniston,"['jennifer-aniston', 'kim-kardashian', 'nicki-minaj']",287.0,1127.0,jennifer-aniston,2,1,True
76,justin-bieber,"['justin-bieber', 'will-smith', 'chris-pratt']",291.0,937.0,justin-bieber,2,1,True
77,cersei,"['cersei', 'angelina-jolie', 'billie-eilish']",268.0,823.0,cersei,2,1,True
78,melania-trump,"['melania-trump', 'kanye-west', 'beyonce']",291.0,875.0,melania-trump,2,1,True
79,bradley-cooper,"['bradley-cooper', 'brad-pitt', 'kristen-stewart']",271.0,781.0,bradley-cooper,2,1,True
80,ryan-gosling,"['ryan-gosling', 'seth-rogan', 'angelina-jolie']",271.0,873.0,ryan-gosling,2,1,True
81,will-smith,"['will-smith', 'jennifer-aniston', 'justin-trudeau']",358.0,930.0,will-smith,2,1,True
82,zendaya,"['zendaya', 'rihanna', 'jake-gyllenhaal']",497.0,1020.0,zendaya,2,1,True
83,reese-witherspoon,"['reese-witherspoon', 'miley-cyrus', 'taylor-swift']",255.0,796.0,reese-witherspoon,2,1,True
84,drake,"['drake', 'emma-watson', 'justin-timberlake']",287.0,827.0,drake,2,1,True
85,jennifer-lopez,"['jennifer-lopez', 'ryan-gosling', 'billie-eilish']",298.0,946.0,jennifer-lopez,2,1,True
86,nicki-minaj,"['nicki-minaj', 'ryan-reynolds', 'angelina-jolie']",304.0,828.0,nicki-minaj,2,1,True
87,justin-trudeau,"['justin-trudeau', 'jay-z', 'taylor-swift']",324.0,892.0,justin-trudeau,2,1,True
88,michael-jackson,"['michael-jackson', 'jake-gyllenhaal', 'cersei']",330.0,885.0,michael-jackson,2,1,True
89,donald-trump,"['donald-trump', 'justin-timberlake', 'will-smith']",366.0,1055.0,donald-trump,2,1,True
90,steve-carrell,"['steve-carrell', 'taylor-swift', 'kanye-west']",336.0,934.0,steve-carrell,2,1,True
91,rihanna,"['rihanna', 'selena-gomez', 'angelina-jolie']",364.0,1083.0,rihanna,2,1,True
92,justin-timberlake,"['justin-timberlake', 'reese-witherspoon', 'ryan-gosling']",499.0,1127.0,justin-timberlake,2,1,True
93,post-malone,"['post-malone', 'emma-watson', 'lady-gaga']",364.0,1310.0,post-malone,2,1,True
94,shawn-mendes,"['shawn-mendes', 'ariana-grande', 'cersei']",846.0,1727.0,shawn-mendes,2,1,True
95,barack-obama,"['barack-obama', 'billie-eilish', 'robert-downey-jr']",346.0,901.0,barack-obama,2,1,True
96,leonardo-dicaprio,"['leonardo-dicaprio', 'jennifer-lawrence', 'ariana-grande']",299.0,760.0,leonardo-dicaprio,2,1,True
97,miley-cyrus,"['miley-cyrus', 'eminem', 'jake-gyllenhaal']",637.0,1268.0,miley-cyrus,2,1,True
98,brad-pitt,"['brad-pitt', 'chris-pratt', 'meghan-markle']",510.0,1036.0,brad-pitt,2,1,True
99,jake-gyllenhaal,"['jake-gyllenhaal', 'emma-stone', 'zendaya']",256.0,797.0,jake-gyllenhaal,2,1,True
100,beyonce,"['beyonce', 'seth-rogan', 'billie-eilish']",267.0,927.0,beyonce,2,1,True
101,chris-pratt,"['chris-pratt', 'taylor-swift', 'jennifer-lawrence']",302.0,902.0,chris-pratt,2,1,True
102,angelina-jolie,"['angelina-jolie', 'billie-eilish', 'barack-obama']",242.0,855.0,angelina-jolie,2,1,True
103,donald-glover,"['donald-glover', 'meghan-markle', 'reese-witherspoon']",227.0,840.0,donald-glover,2,1,True
104,jennifer-lawrence,"['jennifer-lawrence', 'jay-z', 'michael-jackson']",242.0,781.0,jennifer-lawrence,2,1,True
105,lady-gaga,"['lady-gaga', 'zendaya', 'drake']",254.0,810.0,lady-gaga,2,1,True
106,billie-eilish,"['billie-eilish', 'selena-gomez', 'rihanna']",184.0,725.0,billie-eilish,2,1,True
107,emma-watson,"['emma-watson', 'seth-rogan', 'leonardo-dicaprio']",479.0,987.0,emma-watson,2,1,True
108,robert-downey-jr,"['robert-downey-jr', 'beyonce', 'drake']",286.0,933.0,robert-downey-jr,2,1,True
109,selena-gomez,"['selena-gomez', 'ariana-grande', 'miley-cyrus']",291.0,903.0,selena-gomez,2,1,True
110,ryan-reynolds,"['ryan-reynolds', 'melania-trump', 'miley-cyrus']",338.0,968.0,ryan-reynolds,2,1,True
111,meghan-markle,"['meghan-markle', 'billie-eilish', 'jennifer-lawrence']",470.0,1368.0,meghan-markle,2,1,True
112,taylor-swift,"['taylor-swift', 'kanye-west', 'leonardo-dicaprio']",297.0,1049.0,taylor-swift,2,1,True
113,eminem,"['eminem', 'leonardo-dicaprio', 'barack-obama']",251.0,806.0,eminem,2,1,True
114,kanye-west,"['kanye-west', 'robert-downey-jr', 'kim-kardashian']",686.0,1316.0,kanye-west,2,1,True
115,dwayne-johnson,"['dwayne-johnson', 'reese-witherspoon', 'ariana-grande']",710.0,1383.0,dwayne-johnson,2,1,True
116,jay-z,"['jay-z', 'leonardo-dicaprio', 'donald-trump']",381.0,1101.0,jay-z,2,1,True
117,seth-rogan,"['seth-rogan', 'brad-pitt', 'jennifer-lawrence']",317.0,812.0,seth-rogan,2,1,True
118,kristen-stewart,"['kristen-stewart', 'lady-gaga', 'eminem']",497.0,1022.0,kristen-stewart,2,1,True
119,kim-kardashian,"['kim-kardashian', 'post-malone', 'leonardo-dicaprio']",243.0,739.0,kim-kardashian,2,1,True
120,ariana-grande,"['ariana-grande', 'shawn-mendes', 'post-malone']",315.0,810.0,ariana-grande,2,1,True
121,emma-stone,"['emma-stone', 'drake', 'kim-kardashian']",197.0,678.0,emma-stone,2,1,True
122,jennifer-aniston,"['jennifer-aniston', 'kim-kardashian', 'nicki-minaj']",287.0,1127.0,jennifer-aniston,2,1,True
123,justin-bieber,"['justin-bieber', 'will-smith', 'chris-pratt']",291.0,937.0,justin-bieber,2,1,True
124,cersei,"['cersei', 'angelina-jolie', 'billie-eilish']",268.0,823.0,cersei,2,1,True
125,melania-trump,"['melania-trump', 'kanye-west', 'beyonce']",291.0,875.0,melania-trump,2,1,True
126,bradley-cooper,"['bradley-cooper', 'brad-pitt', 'kristen-stewart']",271.0,781.0,bradley-cooper,2,1,True
127,ryan-gosling,"['ryan-gosling', 'seth-rogan', 'angelina-jolie']",271.0,873.0,ryan-gosling,2,1,True
128,will-smith,"['will-smith', 'jennifer-aniston', 'justin-trudeau']",358.0,930.0,will-smith,2,1,True
129,zendaya,"['zendaya', 'rihanna', 'jake-gyllenhaal']",497.0,1020.0,zendaya,2,1,True
130,reese-witherspoon,"['reese-witherspoon', 'miley-cyrus', 'taylor-swift']",255.0,796.0,reese-witherspoon,2,1,True
131,drake,"['drake', 'emma-watson', 'justin-timberlake']",287.0,827.0,drake,2,1,True
132,jennifer-lopez,"['jennifer-lopez', 'ryan-gosling', 'billie-eilish']",298.0,946.0,jennifer-lopez,2,1,True
133,nicki-minaj,"['nicki-minaj', 'ryan-reynolds', 'angelina-jolie']",304.0,828.0,nicki-minaj,2,1,True
134,justin-trudeau,"['justin-trudeau', 'jay-z', 'taylor-swift']",324.0,892.0,justin-trudeau,2,1,True
135,michael-jackson,"['michael-jackson', 'jake-gyllenhaal', 'cersei']",330.0,885.0,michael-jackson,2,1,True
136,donald-trump,"['donald-trump', 'justin-timberlake', 'will-smith']",366.0,1055.0,donald-trump,2,1,True
137,steve-carrell,"['steve-carrell', 'taylor-swift', 'kanye-west']",336.0,934.0,steve-carrell,2,1,True
138,rihanna,"['rihanna', 'selena-gomez', 'angelina-jolie']",364.0,1083.0,rihanna,2,1,True
139,justin-timberlake,"['justin-timberlake', 'reese-witherspoon', 'ryan-gosling']",499.0,1127.0,justin-timberlake,2,1,True
140,post-malone,"['post-malone', 'emma-watson', 'lady-gaga']",364.0,1310.0,post-malone,2,1,True
